award_value,organisation
60000,Abertay University
5250000,Abertay University
403000,Abertay University
813000,Aberystwyth University
36000,Aberystwyth University
141000,Aberystwyth University
1872000,Aberystwyth University
121000,Anglia Ruskin University
202000,Anglia Ruskin University
658000,Anglia Ruskin University
80000,Aston University
38000,Bangor University
23000,Bangor University
36000,Bangor University
79000,Bangor University
200000,Bangor University
80000,Bath Spa University
131000,Bath Spa University
24000,Bath Spa University
80000,Bath Spa University
68000,Bath Spa University
85000,Bath Spa University
202000,Bath Spa University
22000,Bath Spa University
327000,Bath Spa University
338000,Birkbeck College
53000,Birkbeck College
810000,Birkbeck College
203000,Birkbeck College
803000,Birkbeck College
202000,Birkbeck College
35000,Birkbeck College
369000,Birmingham City University
83000,Birmingham City University
34000,Birmingham City University
157000,Birmingham City University
27000,Birmingham City University
36000,Birmingham City University
135000,Birmingham City University
684000,Birmingham City University
33000,Birmingham City University
27000,Birmingham City University
184000,Birmingham City University
184000,Birmingham City University
36000,Birmingham City University
35000,Bournemouth University
146000,Bournemouth University
557000,Bournemouth University
46000,Bournemouth University
50000,Bournemouth University
73000,Bournemouth University
60000,Bournemouth University
186000,Bournemouth University
201000,Bournemouth University
77000,Bournemouth University
55000,Bournemouth University
108000,Brit Inst of International and Comp Law
164000,Brit Inst of International and Comp Law
3807000,Brit Inst of International and Comp Law
950000,British Library
198000,British Library
209000,British Library
65000,British Library
79000,Brunel University London
1214000,Brunel University London
159000,Brunel University London
77000,Brunel University London
202000,Brunel University London
97000,Brunel University London
417000,Brunel University London
202000,Canterbury Christ Church University
161000,Cardiff Metropolitan University
59000,Cardiff Metropolitan University
68000,Cardiff University
20000,Cardiff University
496000,Cardiff University
31000,Cardiff University
203000,Cardiff University
200000,Cardiff University
411000,Cardiff University
81000,Cardiff University
201000,Cardiff University
36000,Cardiff University
54000,Cardiff University
180000,Cardiff University
78000,Cardiff University
34000,Cardiff University
175000,Cardiff University
5386000,Cardiff University
642000,Cardiff University
469000,Cardiff University
202000,Cardiff University
201000,Cardiff University
81000,Cardiff University
102000,Cardiff University
207000,"City, University of London"
20000,Courtauld Institute of Art
29000,Courtauld Institute of Art
70000,Coventry University
79000,Coventry University
85000,Coventry University
81000,Coventry University
49000,Coventry University
50000,Coventry University
60000,Coventry University
31000,Coventry University
59000,Coventry University
53000,Coventry University
249000,De Montfort University
79000,De Montfort University
177000,De Montfort University
160000,De Montfort University
36000,De Montfort University
202000,Edge Hill University
36000,Edge Hill University
81000,Edge Hill University
58000,Edinburgh Napier University
94000,Edinburgh Napier University
64000,Falmouth University
56000,Falmouth University
31000,Falmouth University
75000,Glasgow School of Art
29000,Glasgow School of Art
36000,Glasgow School of Art
120000,Glasgow School of Art
202000,Glasgow School of Art
201000,Glasgow School of Art
212000,Glasgow School of Art
59000,Glasgow School of Art
202000,Glasgow School of Art
68000,Glasgow School of Art
32000,Glasgow School of Art
34000,Glasgow School of Art
81000,Glasgow School of Art
12000,Goldsmiths College
81000,Goldsmiths College
161000,Goldsmiths College
3288000,Goldsmiths College
807000,Goldsmiths College
60000,Goldsmiths College
196000,Goldsmiths College
81000,Goldsmiths College
203000,Goldsmiths College
54000,Goldsmiths College
45000,Goldsmiths College
32000,Goldsmiths College
48000,Goldsmiths College
416000,Goldsmiths College
36000,Guildhall School of Music and Drama
192000,Guildhall School of Music and Drama
840000,Guildhall School of Music and Drama
202000,Historic Bldgs & Mnts Commis for England
31000,Historic Bldgs & Mnts Commis for England
807000,Historic Environment Scotland
382000,Historic Environment Scotland
1804000,Historic Environment Scotland
165000,Historic Royal Palaces
201000,Historic Royal Palaces
36000,Historic Royal Palaces
33000,Historic Royal Palaces
92000,"Imperial College of Science, Technology and Medicine"
78000,"Imperial College of Science, Technology and Medicine"
203000,"Imperial College of Science, Technology and Medicine"
144000,Institute for Government
638000,Institute of Development Studies
55000,Institute of Development Studies
54000,Institute of Development Studies
175000,International Institute for Env and Dev
34000,Keele University
171000,Keele University
33000,Keele University
138000,Keele University
740000,Keele University
172000,Keele University
337000,Keele University
137000,Keele University
33000,Keele University
200000,Keele University
1872000,Keele University
76000,Keele University
78000,King's College London
201000,King's College London
2923000,King's College London
202000,King's College London
644000,King's College London
45000,King's College London
48000,King's College London
49000,King's College London
200000,King's College London
76000,King's College London
813000,King's College London
80000,King's College London
189000,King's College London
80000,King's College London
52000,King's College London
36000,King's College London
77000,King's College London
790000,King's College London
50000,King's College London
82000,King's College London
805000,King's College London
76000,King's College London
203000,King's College London
54000,King's College London
80000,King's College London
85000,King's College London
77000,King's College London
198000,Kingston University
199000,Kingston University
200000,Kingston University
51000,Kingston University
227000,Kingston University
36000,Kingston University
343000,Leeds Beckett University
24000,Leeds Beckett University
80000,Leeds Beckett University
127000,Leeds Beckett University
54000,Liverpool Hope University
30000,Liverpool John Moores University
114000,Liverpool John Moores University
196000,Liverpool John Moores University
199000,Liverpool John Moores University
36000,Liverpool John Moores University
196000,Liverpool John Moores University
699000,London School of Economics and Political Science
725000,London School of Economics and Political Science
78000,London School of Economics and Political Science
173000,London School of Hygiene and Tropical Medicine
35000,London South Bank University
36000,London South Bank University
752000,Loughborough University
46000,Loughborough University
35000,Loughborough University
44000,Loughborough University
195000,Loughborough University
202000,Loughborough University
185000,Loughborough University
38000,Loughborough University
62000,Loughborough University
36000,Loughborough University
201000,Loughborough University
199000,Loughborough University
199000,Loughborough University
886000,Loughborough University
69000,Middlesex University
34000,Middlesex University
222000,Museum of London Archaeology
156000,NERC British Geological Survey
36000,NERC British Geological Survey
36000,National Maritime Museum
33000,National Museums of Scotland
390000,National Museums of Scotland
34000,National Museums of Scotland
88000,Nesta
6137000,Nesta
750000,Newcastle University
77000,Newcastle University
80000,Newcastle University
630000,Newcastle University
40000,Newcastle University
152000,Newcastle University
332000,Newcastle University
1201000,Newcastle University
160000,Newcastle University
725000,Newcastle University
238000,Newcastle University
251000,Newcastle University
280000,Newcastle University
81000,Newcastle University
36000,Newcastle University
50000,Newcastle University
790000,Newcastle University
795000,Newcastle University
60000,Newcastle University
90000,Newcastle University
273000,Newcastle University
804000,Newcastle University
710000,Newcastle University
177000,Newcastle University
92000,Newcastle University
36000,Newcastle University
32000,Newcastle University
759000,Newcastle University
747000,Newcastle University
200000,Newcastle University
91000,Newcastle University
769000,Newcastle University
189000,Newcastle University
142000,Newcastle University
27000,Newcastle University
36000,Newcastle University
36000,Newcastle University
92000,Newcastle University
45000,Newcastle University
608000,Newcastle University
25000,Oxford Brookes University
36000,Oxford Brookes University
81000,Oxford Brookes University
707000,Oxford Brookes University
202000,Oxford Brookes University
43000,Oxford Brookes University
165000,Queen Mary University of London
36000,Queen Mary University of London
79000,Queen Mary University of London
225000,Queen Mary University of London
80000,Queen Mary University of London
86000,Queen Mary University of London
181000,Queen Mary University of London
87000,Queen Mary University of London
203000,Queen Mary University of London
84000,Queen Mary University of London
71000,Queen Mary University of London
36000,Queen Mary University of London
60000,Queen Mary University of London
60000,Queen Mary University of London
200000,Queen Mary University of London
267000,Queen Mary University of London
193000,Queen Mary University of London
119000,Queen Mary University of London
201000,Queen Mary University of London
201000,Queen Mary University of London
91000,Queen Mary University of London
304000,Queen Mary University of London
202000,Queen Mary University of London
24000,Queen Mary University of London
180000,Queen Mary University of London
284000,Queen Mary University of London
200000,Queen's University Belfast
78000,Queen's University Belfast
741000,Queen's University Belfast
21000,Queen's University Belfast
607000,Queen's University Belfast
40000,Queen's University Belfast
653000,Queen's University Belfast
619000,Queen's University Belfast
655000,Queen's University Belfast
128000,Queen's University Belfast
33000,Queen's University Belfast
74000,Queen's University Belfast
80000,Queen's University Belfast
80000,Queen's University Belfast
557000,Queen's University Belfast
86000,Queen's University Belfast
1115000,Queen's University Belfast
80000,Queen's University Belfast
71000,Queen's University Belfast
195000,Queen's University Belfast
60000,Queen's University Belfast
36000,Queen's University Belfast
189000,Queen's University Belfast
33000,Queen's University Belfast
173000,Queen's University Belfast
32000,Queen's University Belfast
54000,Queen's University Belfast
39000,Roehampton University
175000,Roehampton University
81000,Roehampton University
285000,Roehampton University
32000,Royal Botanic Garden Edinburgh
145000,Royal College of Art
226000,Royal College of Art
30000,Royal College of Art
809000,Royal College of Music
35000,Royal College of Music
746000,Royal College of Music
81000,Royal College of Music
16000,Royal Conservatoire of Scotland
24000,Royal Conservatoire of Scotland
