fy_decision_date,ukri_council,grant_category,reference,organisation
2015-16,AHRC,Research and Innovation Grant,AH/M006336/1,Bournemouth University
2015-16,AHRC,Research and Innovation Grant,AH/M006336/1,Griffith University
2015-16,AHRC,Research and Innovation Grant,AH/M008096/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/M008096/1,University of Cape Town
2015-16,AHRC,Fellowship,AH/M008274/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/M008363/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/M008363/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/M008363/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/M008363/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,Keele University
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,Umea University
2015-16,AHRC,Research and Innovation Grant,AH/M008398/1,University of Plymouth
2015-16,AHRC,Research and Innovation Grant,AH/M00841X/1,SOAS University of London
2015-16,AHRC,Research and Innovation Grant,AH/M00841X/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/M00841X/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/M008428/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/M008428/1,Sheffield Hallam University
2015-16,AHRC,Fellowship,AH/M008436/1,The University of Strathclyde
2015-16,AHRC,Research and Innovation Grant,AH/M008444/1,The University of Huddersfield
2015-16,AHRC,Research and Innovation Grant,AH/M008444/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/M008517/1,Guildhall School of Music and Drama
2015-16,AHRC,Research and Innovation Grant,AH/M008517/1,California State University (Long Beach)
2015-16,AHRC,Research and Innovation Grant,AH/M008568/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/M008568/1,The University of York
2015-16,AHRC,Fellowship,AH/M008584/1,The University of Sussex
2015-16,AHRC,Fellowship,AH/M008614/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/M008649/1,Ulster University
2015-16,AHRC,Research and Innovation Grant,AH/M008649/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/M008770/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/M008770/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/M008819/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/M008819/1,Royal Holloway and Bedford New College
2015-16,AHRC,Research and Innovation Grant,AH/M008819/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/M008827/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/M008827/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/M00886X/1,The University of Glasgow
