fy_decision_date,ukri_council,grant_category,number_of_applications,number_of_awards,award_rate_by_number(%),amount_applied_for(£),amount_awarded(£),award_rate_by_value(%)
2015-16,AHRC,Fellowship,117,35,30,16810000,5273000,31
2016-17,AHRC,Fellowship,112,35,31,18302000,6098000,33
2017-18,AHRC,Fellowship,119,39,33,19553000,6544000,33
2018-19,AHRC,Fellowship,190,53,28,31647000,8600000,27
2019-20,AHRC,Fellowship,143,39,27,24356000,6890000,28
2015-16,AHRC,Research and Innovation Grant,630,225,36,168114000,58845000,35
2016-17,AHRC,Research and Innovation Grant,733,285,39,190073000,65309000,34
2017-18,AHRC,Research and Innovation Grant,884,237,27,228384000,60947000,27
2018-19,AHRC,Research and Innovation Grant,687,219,32,326298000,105824000,32
2019-20,AHRC,Research and Innovation Grant,808,300,37,259901000,84150000,32
2015-16,BBSRC,Fellowship,145,17,12,74302000,7589000,10
2016-17,BBSRC,Fellowship,146,18,12,81349000,10717000,13
2017-18,BBSRC,Fellowship,181,15,8,99838000,8038000,8
2018-19,BBSRC,Fellowship,124,15,12,72090000,7225000,10
2019-20,BBSRC,Fellowship,100,13,13,56240000,6056000,11
2015-16,BBSRC,Research and Innovation Grant,2026,441,22,901397000,182562000,20
2016-17,BBSRC,Research and Innovation Grant,2228,529,24,1071081000,211747000,20
2017-18,BBSRC,Research and Innovation Grant,1747,439,25,909146000,225686000,25
2018-19,BBSRC,Research and Innovation Grant,1752,459,26,884780000,207838000,23
2019-20,BBSRC,Research and Innovation Grant,1669,440,26,728120000,167888000,23
2015-16,EPSRC,Fellowship,464,81,17,371115000,65727000,18
2016-17,EPSRC,Fellowship,298,61,20,218880000,43585000,20
2017-18,EPSRC,Fellowship,339,61,18,268978000,52988000,20
2018-19,EPSRC,Fellowship,398,120,30,304992000,86785000,28
2019-20,EPSRC,Fellowship,285,53,19,210061000,43055000,20
2015-16,EPSRC,Research and Innovation Grant,2414,784,32,1642678000,518325000,32
2016-17,EPSRC,Research and Innovation Grant,2714,955,35,1840983000,705951000,38
2017-18,EPSRC,Research and Innovation Grant,2545,827,32,1806430000,709634000,39
2018-19,EPSRC,Research and Innovation Grant,2273,625,27,1838589000,611051000,33
2019-20,EPSRC,Research and Innovation Grant,2134,661,31,1548167000,600842000,39
2015-16,ESRC,Fellowship,31,16,52,4662000,2869000,62
2016-17,ESRC,Fellowship,29,29,100,0,0,
2017-18,ESRC,Fellowship,31,20,65,7330000,5345000,73
2018-19,ESRC,Fellowship,112,90,80,16729000,8386000,50
2019-20,ESRC,Fellowship,127,103,81,23284000,13973000,60
2015-16,ESRC,Research and Innovation Grant,1544,255,17,574584000,115653000,20
2016-17,ESRC,Research and Innovation Grant,1259,286,23,723991000,113757000,16
2017-18,ESRC,Research and Innovation Grant,961,244,25,531792000,209689000,39
2018-19,ESRC,Research and Innovation Grant,1359,360,26,752287000,200901000,27
2019-20,ESRC,Research and Innovation Grant,1108,267,24,712605000,207064000,29
2015-16,Innovate UK,Research and Innovation Grant,5439,1295,24,1713183000,635075000,37
2016-17,Innovate UK,Research and Innovation Grant,4616,1245,27,1464397000,642921000,44
2017-18,Innovate UK,Research and Innovation Grant,6313,1865,30,2525847000,876016000,35
2018-19,Innovate UK,Research and Innovation Grant,7209,1786,25,3241867000,916797000,28
2019-20,Innovate UK,Research and Innovation Grant,5794,949,16,2648157000,645886000,24
2015-16,MRC,Fellowship,406,89,22,239628000,40547000,17
2016-17,MRC,Fellowship,443,78,18,292542000,44842000,15
2017-18,MRC,Fellowship,427,144,34,277360000,65045000,23
2018-19,MRC,Fellowship,358,71,20,270869000,44740000,17
2019-20,MRC,Fellowship,367,90,25,240023000,46818000,20
2015-16,MRC,Research and Innovation Grant,1720,345,20,1024904000,269556000,26
2016-17,MRC,Research and Innovation Grant,1759,349,20,1133374000,263950000,23
2017-18,MRC,Research and Innovation Grant,1576,326,21,986334000,276914000,28
2018-19,MRC,Research and Innovation Grant,1610,334,21,1116140000,272529000,24
2019-20,MRC,Research and Innovation Grant,1753,401,23,1021226000,262660000,26
2015-16,NERC,Fellowship,236,46,19,92260000,10671000,12
2016-17,NERC,Fellowship,244,47,19,99747000,11070000,11
2017-18,NERC,Fellowship,339,74,22,121214000,19354000,16
2018-19,NERC,Fellowship,206,30,15,79510000,7852000,10
2019-20,NERC,Fellowship,136,15,11,80042000,8314000,10
2015-16,NERC,Research and Innovation Grant,1357,448,33,445164000,129219000,29
2016-17,NERC,Research and Innovation Grant,1664,453,27,685986000,175476000,26
2017-18,NERC,Research and Innovation Grant,959,281,29,393591000,130475000,33
2018-19,NERC,Research and Innovation Grant,1502,436,29,558450000,157384000,28
2019-20,NERC,Research and Innovation Grant,867,247,28,333497000,95024000,28
2018-19,Research England,Research and Innovation Grant,4,3,75,15292000,6292000,41
2019-20,Research England,Research and Innovation Grant,115,53,46,209897000,149060000,71
2015-16,STFC,Fellowship,169,16,9,71886000,6065000,8
2016-17,STFC,Fellowship,146,20,14,62487000,7176000,11
2017-18,STFC,Fellowship,231,29,13,94353000,10499000,11
2018-19,STFC,Fellowship,166,21,13,78447000,7439000,9
2019-20,STFC,Fellowship,181,9,5,92419000,4376000,5
2015-16,STFC,Research and Innovation Grant,389,253,65,254724000,139812000,55
2016-17,STFC,Research and Innovation Grant,406,257,63,277222000,109487000,39
2017-18,STFC,Research and Innovation Grant,299,183,61,192107000,87097000,45
2018-19,STFC,Research and Innovation Grant,369,227,62,199059000,102759000,52
2019-20,STFC,Research and Innovation Grant,384,244,64,365658000,160968000,44
2018-19,Cross-Council Funds,Fellowship,349,40,11,274972000,15478000,6
2019-20,Cross-Council Funds,Fellowship,699,118,17,620129000,118583000,19
2015-16,Cross-Council Funds,Research and Innovation Grant,3,3,100,844000,849000,101
2016-17,Cross-Council Funds,Research and Innovation Grant,16,2,13,78792000,596000,1
2017-18,Cross-Council Funds,Research and Innovation Grant,55,21,38,64424000,13649000,21
2018-19,Cross-Council Funds,Research and Innovation Grant,490,172,35,981684000,241974000,25
2019-20,Cross-Council Funds,Research and Innovation Grant,524,115,22,335556000,79906000,24
